Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure
2010-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,31100,,litres
2010-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,22550,,litres
2011-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,22539,,litres
2011-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,22294,,litres
2011-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,24345,,litres
2011-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36200,,litres
2011-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,39400,,litres
2011-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,32236,,litres
2011-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,38027,,litres
2011-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,27433,,litres
2011-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,34588,,litres
2011-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,40321,,litres
2011-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,27234,,litres
2011-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,32178,,litres
2012-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,24564,,litres
2012-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,20500,,litres
2012-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,26511,,litres
2012-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36085,,litres
2012-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,41728,,litres
2012-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,46463,,litres
2012-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,44269,,litres
2012-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,37428,,litres
2012-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,38394,,litres
2012-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,37149,,litres
2012-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,23350,,litres
2012-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,23983,,litres
2013-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,29294,,litres
2013-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,21857,,litres
2013-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30991,,litres
2013-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,32814,,litres
2013-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,37963,,litres
2013-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36199,,litres
2013-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36121,,litres
2013-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,32268,,litres
2013-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,27422,,litres
2013-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,26105,,litres
2013-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,35812,,litres
2013-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,31588,,litres
2014-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,28641,,litres
2014-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,18530,,litres
2014-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,23643,,litres
2014-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,18399,,litres
2014-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,23181,,litres
2014-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,31975,,litres
2014-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,29300,,litres
2014-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,21689,,litres
2014-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,16479,,litres
2014-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,18546,,litres
2014-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,19103,,litres
2014-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,17769,,litres
2015-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,22157,,litres
2015-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,15705,,litres
2015-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,18157,,litres
2015-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,21976,,litres
2015-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,40926,,litres
2015-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,31682,,litres
2015-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,44776,,litres
2015-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36469,,litres
2015-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,29212,,litres
2015-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,23384,,litres
2015-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,22961,,litres
2015-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,3148,,litres
2016-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,27815,,litres
2016-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,19142,,litres
